name,logo,category,address,description,site_web,size,twitter,linkedin,facebook,youtube
Legal Doctrine,https://www.emploitic.com/attachments/company_logo/logo_4958596.jpg,Services,"Lot N°4 belle vue, Chemin de la madeleine, Hydra , Alger, Algérie","Légal Doctrine est la première LegalTech en Algerie, ayant la
vocation de proposer des services juridiques répondant aux besoins
des entrepreneurs.

Legal Doctrine est une start-up legaltech, éditrice de la plateforme legal-doctrine.com, qui collecte et met en ligne les législations, réglementations et décisions de justice des pays en Afrique, à commencer par l’Algérie depuis février 2018.
Dans le but de permettre l’accès à ces données, nous analysons les textes juridiques au moyen d’algorithmes d’intelligence artificielle puissants.
Nous rendons les informations disponibles et exploitables via un moteur de recherche et un système de veille juridique automatisée.
Legal Doctrine a été récompensée pour ses innovations en recevant à deux reprises le titre de “Best African Legaltechp” en 2018 à Zurich et en 2019 à Tunis.
Profil recherché",https://legal-doctrine.com/,Multinationale,,https://www.linkedin.com/company/legaldoctrine/,,
U-Builders,https://www.emploitic.com/images/cpsite/U-Builder/logo-3.jpg,"Design, Aménagement, BTP",Alger,"uBuilders est une entreprise de Design & Build spécialisée dans les aménagements d’espaces commerciaux et tertiaires. Elle se positionne comme leader dans les aménagements d’espaces de travail de génération future.

Avec une offre 360° multi-service, clé en main et sur mesure, uBuilders interagit et accompagne les organisations dans leur transformation spatiale et ce, à travers un process complet allant du design jusqu’à la livraison du projet de A à Z.

L’espace de travail, l’ergonomie ainsi que le bien-être de l’usager dans son espace professionnel font partie intégrante de la conception",https://u-builders.com/,20 Employés,,https://www.linkedin.com/company/u-builders/,,
Yucca Labs,https://www.emploitic.com/images/cpsite/yucca/logo_yucca_labs_page_employeur.jpg,Développement de plateformes web et mobile,Alger Centre,"Chez Yucca Labs, Responsables produit, ingénieurs et créateurs de contenu allient créativité et dynamisme dans la conception et le développement de plateformes web et mobiles pérennes et innovantes. 

Yucca Labs dispose d’une organisation plate (non pyramidale) qui facilite l’intégration de nouveaux talents et qui leur offre une marge de manœuvre décisionnelle importante.

L’esprit créatif, l’agilité ainsi que le travail collaboratif sont des valeurs intrinsèques à l’entreprise dans la réalisation de ses objectifs.",https://yuccalabs.com/,12 Employés,https://twitter.com/yuccalabs,https://www.linkedin.com/company/yucca-labs,https://www.facebook.com/yuccalabs,
Les Pages Maghreb Editions,https://www.emploitic.com/attachments/company_logo/logo_4247194.jpg,Services,"18 Rue du bois 16405-Hydra, Alger, Algérie",,https://www.lespagesmaghreb.com/,PME/PMI,,,,
Emploitic SPA,https://www.emploitic.com/images/cpsite/Emploitic-update-2022/logo.jpg,Service,"Draria, Alger","Lancé en 2006, Emploitic.com est le site leader du recrutement en Algérie ; avec plus de 20 000 recrutements par an, plus de 10 000 entreprises clientes et plus d’1 million de membres.

Nous sommes une équipe dynamique et passionnée dont l’objectif premier et de connecter des talents.

Pour nous c’est l’Équipe qui fait l’entreprise, donner à nos collaborateurs les moyens d’exprimer leurs talents, de se développer et de participer activement au développement de l’entreprise, telle est notre vision de la réussite collective.

Rejoignez la Team Emploitic !",https://www.emploitic.com/,63 collaborateurs,https://twitter.com/_emploitic_?lang=fr,https://www.linkedin.com/company/709037/admin/,https://www.facebook.com/Emploiticcom,https://www.youtube.com/channel/UC7_62NCHwuq3zZgdJVVsXCg
IMD Laboratoires,https://www.emploitic.com/attachments/company_logo/logo_5225010.jpg,Industries,"IMD LABORATOIRES 22 ROUTE NATIONALE N° 11 BP N° 121 EX ROUTE DE STAOUELI Ain Benian 16 ALGER (DZ), Alger, Algérie",,,PME/PMI,,,,
SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),https://www.emploitic.com/attachments/company_logo/logo_5092977.jpg,Industries,"35 rue des Brasseurs - 01 - Côte d'Ivoire - 01 BP 1304 01 , Abidjan, Côte d'ivoire",,,Grande entreprise,,,,
Société Générale Afrique de l'ouest ( Centre d'Expertise AFS),https://www.emploitic.com/attachments/company_logo/logo_5266067.jpg,"Banque, Assurance, Finance","01BP 1355 ABJ 01 5 & 7Avenue Joseph Anoma, Abidjan, Côte d'ivoire",,https://www.emploitic.com/www.societegenerale.com,Multinationale,,,,
COPACI,https://www.emploitic.com/attachments/company_logo/logo_5223925.jpg,"Distribution, Commerce","CI, Abidjan, Côte d'ivoire",,,Grande entreprise,,,,
Société Générale Côte D'ivoire,https://www.emploitic.com/attachments/company_logo/logo_5266054.jpg,Industries,"Plateau, Abidjan, Côte d'ivoire",,https://societegenerale.ci/,Grande entreprise,,https://www.linkedin.com/company/societegeneralecotedivoire/,https://web.facebook.com/societegenerale.cotedivoire,
